dish_id;ingredient_id
40;7621
40;3012
40;9937
41;2478
41;13634
41;14185
41;14185
41;6653
41;12938
41;6653
41;953
41;8291
41;14455
41;8305
42;7546
42;738
42;10933
42;888
42;6074
42;12858
42;12938
43;2116
43;5828
43;1754
43;1182
43;8333
43;12231
43;11578
44;6056
44;14119
44;2836
44;5788
44;9615
44;10442
44;11864
45;1875
45;9041
45;5828
45;4663
45;13785
45;968
45;12913
46;5616
46;1021
46;10993
46;9363
46;12243
46;2098
46;92
46;4143
46;1875
46;1021
47;3775
47;12913
47;11647
47;11608
48;9912
48;10880
48;13865
48;888
48;13673
48;3068
48;3294
48;8625
49;10939
49;8037
49;12425
49;11200
49;367
49;8907
49;13785
49;1897
49;8748
49;12789
49;13965
50;5209
50;5110
50;9041
50;1897
50;12193
50;11200
50;3725
50;8748
50;2403
50;8037
50;7180
50;5788
50;9971
50;13965
51;45
51;934
51;4143
51;2105
51;7366
51;9015
51;12231
51;8748
51;9387
51;19
51;8748
51;1959
51;5137
51;9536
51;12409
51;1520
52;4143
52;9041
52;8748
53;6993
53;3966
53;8748
53;5939
53;2672
54;3692
54;14185
54;12678
54;6653
54;7603
54;4264
55;9041
55;206
55;9307
55;3996
55;109
55;7621
55;6013
56;14185
56;6131
56;4143
56;2535
56;11578
56;7027
57;6741
57;12445
57;1466
57;3879
57;4264
57;9276
57;10377
57;9615
57;8748
57;10201
57;4264
58;3427
58;12231
58;10377
58;7027
58;10921
58;4933
59;8768
59;10578
59;14119
59;9041
59;9256
59;14416
59;8748
59;3918
59;9370
59;1959
60;3218
60;4982
60;8748
60;7027
60;11578
60;9041
61;4982
61;7621
61;3879
61;7027
61;11497
61;3692
61;11578
61;4694
61;3879
61;945
62;4351
62;767
62;14279
62;6074
62;12344
62;4264
62;11428
62;3360
62;13118
62;4264
63;2116
63;11768
63;8483
63;12870
63;6260
63;9615
63;9307
64;1847
64;1959
64;11578
64;11628
64;12512
64;1650
64;1959
65;1875
66;13089
66;11058
66;7621
66;1875
66;8748
66;4459
66;2818
67;8748
67;6056
67;4264
67;3023
67;8748
68;5136
68;1732
68;8138
68;9307
68;14364
68;8748
68;8748
68;10880
68;10695
68;11864
68;12726
69;9041
69;2007
69;5614
69;12186
69;3314
69;11058
69;1959
69;4264
70;10388
70;10214
70;11578
70;9307
70;504
70;12512
70;12385
70;14445
71;4685
71;12765
71;13364
71;8748
71;3938
72;10752
72;11864
72;10909
72;8748
72;9687
72;12678
72;9307
72;8748
72;6393
73;12714
73;11864
73;4143
73;11590
73;7313
73;7621
73;8748
73;4663
73;11058
74;224
74;4803
74;12423
74;12192
74;11864
74;11864
74;9615
74;13965
75;13667
75;2333
75;13301
75;11596
75;10377
75;2848
75;2848
75;998
75;626
75;4982
75;3517
76;7475
76;8748
76;1848
76;3725
76;12552
76;10377
76;11578
76;5819
76;1182
76;8748
76;3879
76;8748
77;13301
77;10377
77;11578
77;13940
77;14283
77;3879
77;13116
77;9041
77;10357
77;7621
77;1732
77;14185
78;6056
78;11578
78;217
78;10933
78;3360
78;9907
78;8860
78;11578
78;8748
78;11578
78;6653
78;12833
78;13965
79;8768
79;5828
79;12625
79;11578
79;4663
79;8768
79;11578
79;7256
79;5589
80;3569
80;4241
80;11578
80;2432
80;1858
81;3879
81;1959
81;3855
81;11578
81;5828
81;9041
81;9276
81;3879
81;11058
82;8552
82;11578
82;5828
82;9307
82;2221
82;742
82;9202
82;9505
82;10776
83;13913
83;2328
83;13623
83;9015
83;3461
83;8748
84;6785
84;14449
84;9015
85;1994
85;7354
85;11578
85;11615
86;5385
86;11578
86;10933
86;7823
86;11615
87;6260
87;11578
87;8768
87;5828
87;3935
87;6343
87;10214
87;14167
87;11578
87;9307
87;5828
88;13812
88;13118
88;4264
88;1514
88;2707
88;6079
89;11058
89;4264
89;809
89;3879
90;4982
